 (121, 138.91545402,  1.59426659e+02,  0.34290394, 0.58558   , 0.29311554, 0.54140146,  2.48688236e-01,  0.41155811)
 (122, 141.37251658,  1.61452417e+02,  0.21918295, 0.46816978, 0.31242969, 0.5589541 ,  1.18759116e-01,  0.28850596)
 (123, 111.2998627 ,  1.65757688e+02,  0.13312881, 0.36486821, 0.1473665 , 0.38388344,  8.57610087e-02,  0.2414771 )
 (124,   1.04663207,  1.68155723e+02,  0.48170121, 0.69404698, 0.75912296, 0.87127662,  2.37697400e-01,  0.41399378)
 (125, 188.94783085,  1.68305866e+02,  0.06027095, 0.24550143, 0.18979095, 0.43565002, -7.33278177e-04,  0.10547107)
 (126,  62.11616528,  1.70412700e+02,  0.212921  , 0.46143363, 0.32763544, 0.57239447,  1.07609607e-01,  0.27744969)
 (127, 159.39469776,  1.70876299e+02,  0.22270186, 0.47191298, 0.41720588, 0.64591475,  8.85999699e-02,  0.26429752)
 (128,  93.47375325,  1.72602567e+02,  0.13162454, 0.36280097, 0.27183396, 0.52137699,  4.42493427e-02,  0.19521551)
 (129,  27.16206724,  1.75144715e+02,  0.35423905, 0.59517985, 0.78266729, 0.88468485,  1.02667425e-01,  0.31081687)
 (130, 182.81750174,  1.73839527e+02,  0.13940212, 0.37336593, 0.19724509, 0.44412283,  7.60019101e-02,  0.23061216)
 (131, 121.60401887,  1.77011122e+02,  0.30231931, 0.5498357 , 0.28486747, 0.53372977,  2.10754763e-01,  0.37827971)
 (132,  79.9144869 ,  1.81556209e+02,  0.29370441, 0.54194503, 0.52486482, 0.72447555,  1.24997864e-01,  0.30907789)
 (133, 193.13693321,  1.83844327e+02,  0.10819609, 0.32893173, 0.22121368, 0.47033359,  3.70916876e-02,  0.17775308)
 (134,  39.50238119,  1.85167256e+02,  0.29741904, 0.54536138, 0.92417639, 0.96134093,  3.62342272e-04,  0.23635894)
 (135,  92.78236469,  1.84859473e+02,  0.22086488, 0.46996264, 0.45044308, 0.67115056,  7.60796031e-02,  0.25423567)
 (136,  99.98387502,  1.87065032e+02,  0.20484932, 0.45260283, 0.58713012, 0.76624416,  1.61289240e-02,  0.20631006)
 (137, 188.35526786,  1.87189528e+02,  0.18938894, 0.4351884 , 0.23692476, 0.48674918,  1.13234550e-01,  0.2787333 )
 (138,  13.58193418,  1.90644477e+02,  0.48447464, 0.69604213, 1.69326437, 1.30125492, -5.97889076e-02,  0.27778162)
 (139, 188.5488181 ,  1.90790001e+02,  0.20438501, 0.4520896 , 0.17096582, 0.41348014,  1.49431707e-01,  0.31918527)
 (140,  78.27702961,  1.92882437e+02,  0.25573052, 0.50569806, 0.65026262, 0.80638862,  4.67175379e-02,  0.24650171)
 (141, 124.69082899,  1.93211940e+02,  0.1162742 , 0.34099003, 0.42316911, 0.65051449, -1.97444418e-02,  0.13189609)
 (142,  13.89312933,  1.94555003e+02,  0.57775519, 0.76010209, 1.22313838, 1.10595587,  1.84603571e-01,  0.40461628)
 (143,  47.91456649,  1.94475776e+02,  0.44582861, 0.66770399, 0.95522366, 0.97735544,  1.38792438e-01,  0.35355403)
 (144,  11.09915498,  1.97283642e+02,  0.68299123, 0.82643284, 1.18563467, 1.08886853,  3.01894372e-01,  0.47643938)
 (145,  16.57698984,  1.97225235e+02,  0.61676974, 0.7853469 , 0.99533865, 0.9976666 ,  2.96839460e-01,  0.46466835)
 (146,  56.17724197,  1.98166718e+02,  0.24852796, 0.49852578, 0.74418623, 0.86266229,  9.32524787e-03,  0.22124147)
 (147,  61.08666436,  1.98060311e+02,  0.2695828 , 0.51921364, 0.69436576, 0.83328612,  4.63938055e-02,  0.25137168)]
